Name,smiles,standard_value,standard_type,Source,classes,pIC50
CHEMBL268527,COC(=O)C(Cc1ccc(OP(=O)(Oc2ccc(CC(NC(C)=O)C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1)NC(C)=O.Cl,1400.0,IC50,ChEMBL,2,5.853871964321762
CHEMBL9408,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,16.0,IC50,ChEMBL,1,7.795880017344075
CHEMBL430281,Cl.NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1,2300.0,IC50,ChEMBL,2,5.638272163982407
CHEMBL274829,CCOC(=O)CNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCC(=O)OCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,23.0,IC50,ChEMBL,1,7.638272163982407
CHEMBL9527,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,5000.0,IC50,ChEMBL,2,5.301029995663981
CHEMBL278393,N[C@H](C(=O)N1CCCC1)C1CCCCC1,320.0,IC50,ChEMBL,1,6.494850021680094
CHEMBL98408,CC[C@H](C)[C@H](N)C(=O)N1CCSC1,420.0,IC50,ChEMBL,1,6.376750709602099
CHEMBL1682974,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,33.0,IC50,ChEMBL,1,7.481486060122112
CHEMBL22359,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,53.0,IC50,ChEMBL,1,7.275724130399211
CHEMBL22679,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,94.0,IC50,ChEMBL,1,7.026872146400302
CHEMBL3084936,N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1,24.0,IC50,ChEMBL,1,7.619788758288394
CHEMBL3084942,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,18.0,IC50,ChEMBL,1,7.7447274948966935
CHEMBL3084949,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,15.0,IC50,ChEMBL,1,7.823908740944319
CHEMBL3084939,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,35.0,IC50,ChEMBL,1,7.455931955649724
CHEMBL3084935,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(I)cc2)CC1,23.0,IC50,ChEMBL,1,7.638272163982407
CHEMBL3084943,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,24.0,IC50,ChEMBL,1,7.619788758288394
CHEMBL3084954,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(Cl)c(Cl)c2)CC1,17.0,IC50,ChEMBL,1,7.769551078621726
CHEMBL3084937,CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)cc1,7.5,IC50,ChEMBL,1,8.1249387366083
